Service,Micro Category,Macro Category,Service Category
Acne Facial,Acne Facial,Facial,Spa
Acrylic Add-on,Acrylic Add-on,Acrylic,Nails
Acrylic Fill,Acrylic Fill,Acrylic,Nails
Acrylic Full-Set,Acrylic Full-Set,Acrylic,Nails
Acrylic Gel Fill,Acrylic Gel Fill,Acrylic,Nails
Acrylic Gel Full-Set,Acrylic Gel Full-Set,Acrylic,Nails
Acrylic Pink & White Fill,Acrylic French Fill,Acrylic,Nails
Acrylic Pink & White Full-Set,Acrylic Pink & White Full-Set,Acrylic,Nails
Acrylic Polish Change,Acrylic Polish Change,Acrylic,Nails
Acrylic Refill,Acrylic Refill,Acrylic,Nails
Acrylic Removal,Acrylic Removal,Acrylic,Nails
Acrylic White tip Fill,Acrylic White tip Fill,Acrylic,Nails
Acrylic White tip Full-Set,Acrylic White tip Full-Set,Acrylic,Nails
Active Release Technique (ART),Active Release Technique,Massage,Spa
Acupressure,Acupressure,Massage,Spa
All Over Color,All Over Color,Hair Color,Hair
Antiaging Facial,Antiaging Facial,Facial,Spa
Aromatherapy Facial,Aromatherapy Facial,Facial,Spa
Aromatherapy Massage,Aromatherapy Massage,Massage,Spa
Ayurvedic Massage,Ayurvedic Massage,Massage,Spa
Back Facial,Back Facial,Facial,Spa
Back Massage,Back Massage,Massage,Spa
Balayage,Balayage,Hair Color,Hair
Bang Trim,Bang Trim,Haircut,Hair
Basic Mani Gel Pedi,Basic Mani Gel Pedi,Mani Pedi,Nails
Basic Mani Pedi,Basic Mani Pedi,Mani Pedi,Nails
Basic Manicure,Basic Manicure,Manicure,Nails
Basic Pedicure,Basic Pedicure,Pedicure,Nails
Beard Color,Beard Color,Hair Color,Hair
Beard Trim,Beard Trim,Haircut,Hair 
Beauty Mark,Beauty Mark,Semi-Permanent Makeup,Spa
Beauty mark semi-permanent tattoo,Beauty mark semi-permanent tattoo,Semi-Permanent Makeup,Spa
Bikini Line Waxing,Bikini Waxing,Waxing,Hair Removal
Bikini Sugaring,Bikini Sugaring,Sugaring,Hair Removal
Bikini Waxing,Bikini Waxing,Waxing,Hair Removal
Bleach,Bleach,Hair Color,Hair
Blowdry,Blowdry,Hairstyle,Hair
Body Bath,Body Bath,Body Bath,Spa
Body Massage,Body Massage,Massage,Spa
Body Scrub,Body Scrub,Body Scrub,Spa
Body Trim,Body Trim,Haircut,Hair
Boyzilian Waxing,Boyzilian Waxing,Waxing,Hair Removal
Brazilian Blowout,Brazilian Blowout,Hair Treatment,Hair
Brazilian Sugaring,Brazilian Sugaring,Sugaring,Hair Removal
Brazilian Waxing,Brazilian Waxing,Waxing,Hair Removal
Bridal Hair,Bridal Hair,Hairstyle,Hair
Brightening Facial,Brightening Facial,Facial,Spa
Buffer Add-on,Buffer Add-on,Nails Add-on,Nails
Buzzcut,Buzzcut,Haircut,Hair
Callus Removal,Callus Removal,Nails Add-on,Nails
CBD Massage,CBD Massage,Massage,Spa
Chair Massage,Chair Massage,Massage,Spa
Cheek Sugaring,Cheek Sugaring,Sugaring,Hair Removal
Cheek Threading,Cheek Threading,Threading,Hair Removal
Cheek Waxing,Cheek Waxing,Waxing,Hair Removal
Chemical Peel,Chemical Peel,Facial,Spa
Chest Waxing,Chest Waxing,Waxing,Hair Removal
Children's Haircut,Children's Haircut,Haircut,Hair
Children's Mani Pedi,Children's Mani Pedi,Children's Nails,Nails
Children's Manicure,Children's Manicure,Children's Nails,Nails
Children's Pedicure,Children's Pedicure,Children's Nails,Nails
Chin Sugaring,Chin Sugaring,Sugaring,Hair Removal
Chin Threading,Chin Threading,Sugaring,Hair Removal
Chin Waxing,Chin Waxing,Waxing,Hair Removal
Color Change Feet,Color Change Feet,Polish Change,Nails
Color Change Hands,Color Change Hands,Polish Change,Nails
Color Retouch,Color Retouch,Hair Color,Hair
Color Treatment,Color Treatment,Hair Color,Hair
Combo Massage,Combo Massage,Massage,Spa
Conditioning Treatment,Conditioning Treatment,Hair Treatment,Hair
Couples Massage,Couples Massage,Massage,Spa
Cupping,Cupping,Massage,Spa
Custom Facial,Custom Facial,Facial,Spa
Custom Massage,Custom Massage,Massage,Spa
Damage Treatment,Damage Treatment,Hair Treatment,Hair
Deep Cleaning Facial,Deep Cleaning Facial,Facial,Spa
Deep Tissue Massage,Deep Tissue Massage,Massage,Spa
Detox Facial,Detox Facial,Facial,Spa
Detox Massage,Detox Massage,Massage,Spa
Dipping Powder Fill,Dipping Powder Fill,Dipping Powder,Nails
Dipping Powder Full-Set,Dipping Powder Full-Set,Dipping Powder,Nails
Dipping Powder Removal,Dipping Powder Removal,Dipping Powder,Nails
Ear Waxing,Ear Waxing,Waxing,Hair Removal
Essential Oil Massage,Essential Oil Massage,Massage,Spa
European Facial,European Facial,Facial,Spa
Exfoliating Facial,Exfoliating Facial,Facial,Spa
Extended Bikini Sugaring,Bikini Sugaring,Sugaring,Hair Removal
Extended Bikini Waxing,Bikini Waxing,Waxing,Hair Removal
Extraction Facial,Extraction Facial,Facial,Spa
Extractions Add-on,Extractions Add-on,Spa Add-on,Spa
Eye Treatment Add-on,Eye Treatment Add-on,Spa Add-on,Spa
Eyebrow semi-permanent makeup,Eyebrow semi-permanent makeup,Semi-Permanent Makeup,Spa
Eyebrow Sugaring,Eyebrow Sugaring,Sugaring,Hair Removal
Eyebrow Threading,Eyebrow Threading,Threading,Hair Removal
Eyebrow Tint,Eyebrow Tint,Eyebrow,Hair
Eyebrow Waxing,Eyebrow Waxing,Waxing,Hair Removal
Eyelash Extension,Eyelash Extension,Eyelash,Hair
Eyelash Extension Removal,Eyelash Extension Removal,Eyelash Extension,Hair
Eyelash Perm,Eyelash Perm,Eyelash,Hair
Eyelash Tint,Eyelash Tint,Tinting,Hair
Eyeliner semi-permanent makeup,Eyeliner semi-permanent makeup,Semi-Permanent Makeup,Spa
Face Airbrush Tanning,Face Airbrush Tanning,Airbrush Tanning,Spa
Face Bleach,Face Bleach,Bleaching,Spa
Face Massage,Face Massage,Massage,Spa
Face Tanning,Face Tanning,Tanning,Spa
Facial Add-on,Facial Add-on,Nails Add-on,Nails
Facial Add-on,Facial Add-on,Facial,Spa
Facial Package Deal,Facial Package Deal,Package Deal,Spa
Foot Massage,Foot Massage,Massage,Spa
Foot Sugaring,Foot Sugaring,Sugaring,Hair Removal
Foot Waxing,Foot Waxing,Waxing,Hair Removal
Forehead Threading,Forehead Threading,Threading,Hair Removal
Forehead Waxing,Forehead Waxing,Waxing,Hair Removal
French Manicure,French Manicure,French Nails,Nails
French Pedicure,French Pedicure,French Nails,Nails
French Polish,French Polish,French Nails,Nails
Full arm Sugaring,Full arm Sugaring,Sugaring,Hair Removal
Full arm Waxing,Full arm Waxing,Waxing,Hair Removal
Full back Waxing,Full back Waxing,Waxing,Hair Removal
Full Body Airbrush Tanning,Full Body Tanning,Airbrush Tanning,Spa
Full Body Massage,Full Body Massage,Massage,Spa
Full Body Tanning,Full Body Tanning,Tanning,Spa
Full body Waxing,Full body Waxing,Waxing,Hair Removal
Full face Sugaring,Full face Sugaring,Sugaring,Hair Removal
Full face Threading,Full face Threading,Threading,Hair Removal
Full face Waxing,Full face Waxing,Waxing,Hair Removal
Full front Waxing,Full front Waxing,Waxing,Hair Removal
Full leg Sugaring,Full leg Sugaring,Sugaring,Hair Removal
Full leg Threading,Full leg Threading,Threading,Hair Removal
Full leg Waxing,Full leg Waxing,Waxing,Hair Removal
Gel Acrylic Fill,Gel Acrylic Fill,Acrylic,Nails
Gel Acrylic Full-Set,Gel Acrylic Full-Set,Acrylic,Nails
Gel Fill,Gel Fill,Gel ,Nails
Gel French Manicure,Gel French Manicure,Manicure,Nails
Gel Full-Set,Gel Full-Set,Gel ,Nails
Gel Mani Basic Pedi,Gel Mani Basic Pedi,Mani Pedi,Nails
Gel Mani Pedi,Gel Mani Pedi,Mani Pedi,Nails
Gel Mani Specialty Pedi,Gel Mani Specialty Pedi,Mani Pedi,Nails
Gel Manicure,Gel Manicure,Manicure,Nails
Gel Pedicure,Gel Pedicure,Pedicure,Nails
Gel Pink & White Full-Set,Gel Pink & White Full-Set,Pink & White,Nails
Gel Polish,Gel Polish,Gel ,Nails
Gel Removal,Gel Removal,Gel ,Nails
General Facial,General Facial,Facial,Spa
General Massage,General Massage,Massage,Spa
Glitter tip Full-Set,Glitter tip Full-Set,Glitter tip,Nails
Group Massage,Group Massage,Massage,Spa
Haircut,Women's Haircut,Haircut,Hair
Half arm Sugaring,Half arm Sugaring,Sugaring,Hair Removal
Half arm Threading,Half arm Threading,Threading,Hair Removal
Half arm Waxing,Half arm Waxing,Waxing,Hair Removal
Half back Waxing,Half back Waxing,Waxing,Hair Removal
Half body Waxing,Half body Waxing,Waxing,Hair Removal
Half face Threading,Half face Threading,Threading,Hair Removal
Half front Waxing,Half front Waxing,Waxing,Hair Removal
Half leg Sugaring,Half leg Sugaring,Sugaring,Hair Removal
Half leg Threading,Half leg Threading,Thraeding,Hair Removal
Half leg Waxing,Half leg Waxing,Waxing,Hair Removal
Hand Treatment,Hand Treatment,Massage,Spa
Hand Waxing,Hand Waxing,Waxing,Hair Removal
Head Massage,Head Massage,Massage,Spa
