Service,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,Location,Hours,Discounted?
Sugaring - Upper leg,,Half leg,Sugaring,Hair Removal,,35,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Airbrush Tanning -Upper Body,,Upper body,Tanning,Spa,,35,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Women's Wax - Abdomen,,Stomach,Waxing,Hair Removal,,10+,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Waxing - Abdomen,,Stomach,Waxing,Hair Removal,,10+,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing ,Hair Removal,,35+,Boniva Nail Spa,"Tues-Sat 10am - 7pm, Sun 10am-6pm",FALSE
Waxing - Back (Shoulder to lower waist),,Full back,Waxing,Hair Removal,,45+,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
Men's Wax - Underarm,,Underarm,Men's Waxing,Hair Removal,,20,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Waxing - Back (Shoulder to lower waist plus arms),,Full back,Waxing,Hair Removal,,65,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40,Castro Nail Salon,Mon-Sun 10am-7pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35+,City Famous Nail Spa,Mon-Sat 10am-7pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35,Diane Nails Care,"Mon-Fri 10:30am-8pm, Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30,Doan's Nail,Mon-Sat 10am-7pm,FALSE
Waxing -Back,,Full back,Waxing,Hair Removal,,40+,Fingertips Nail Salon,Mon - Sat 9:30am-7:30pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30,Four Seasons Nail & Spa,"Mon-Sat 9:30am-7:30pm, Sun 9:30AM-6:30pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40+,Green Spa & Nail,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35,Haight Street Nails,"Mon-Tues 10:30am-7pm. Wed-Sat 10:30am-7:30pm, Sun 10:30am-6:30pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,60,Hand Job Spa,"Mon-Sat 10am-8pm, Sun 11am-7pm",FALSE
Sugaring - Underarms,,Underarm,Sugaring,Hair Removal,,22,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35,KT Nails,Wed-Mon 10am-7:30pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,60,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40,Lotus Nail Salon,"Mon-Sat 10am-7:30pm, Sun 10:30am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35+,Mani-Pedi Beauty Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30,Nail Today,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30+,Oliviana Nail Spa,Mon-Sun 9am-9pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40+,Pampered Hands Salon,"Mon-Fri 9am-7pm, Sat 10am-5pm ",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40,Pearly Nails,"Mon 10am-7pm, Wed-Sun 10am-7pm",FALSE
Waxing - Half Back,,Full back,Waxing,Hair Removal,,30,Polish Nail & Beauty Spa,Tues-Sun 10am-7pm,FALSE
Waxing - Full Back,,Full back,Waxing,Hair Removal,,60,Polish Nail & Beauty Spa,Tues-Sun 10am-7pm,FALSE
Waxing -Back,,Full back,Waxing,Hair Removal,,40,Polished Nest,"Tues-Fri 11am-7pm, Sat-Sun 10am-6pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30+,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Waxing - Back & Shoulder,,Full back,Waxing,Hair Removal,,40,Sensi Luxury Nails & Spa,"Tues-Thurs 11am-7:30pm, Sat-Sun 10:30am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,49,SF Nail Bar,"Tues-Fri 11am-7:30pm, Sat-Sun 10am-7pm",FALSE
