Business,Service,Original Service Name,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,
Archimedes Banya,Acne Facial,Acne Facial (50 min),"Must purchase Basic Pass to obtain service. OSEA ANTI-ACNE FACIAL Changing hormones along with dirt from sunglasses, cell phones, and sweat can leave your face a confused mess!Osea will calm and cleanse you skin with gentle yet effective products to clean out clogged pores.Then a custom mask is applied to make your skin tone clear and even. The final step is skin education so you leave knowing how to keep your face in perfect condition.",Acne Facial,Facial,Spa,,95,
EZ Threads,Acne Facial,Corrective Facial,"Six 30 min treatment (2 weeks apart) focused on addressing pigmentation , acne ,skin texture and overall skin rejuvenation through the use of progressive exfoliation ,enzyme and peels.Home care is much for this treatment .Please call for counsultation.",Acne Facial,Facial,Spa,,65,
Lashfully,Acne Facial,Acne Cleanse,,,,Spa,,125,
Lavande Nail Spa,Acne Facial,Acne Facial,,Acne Facial,Facial,Spa,,97,
Lucid Beauty,Acne Facial,ACNE CLEAR,,,,Spa,,155,
Lucid Beauty,Acne Facial,Acne Clear Facial,"Clear acne and scarring from the root with this natural, non-chemical peel, and microdermabrasion treatment.  We recommend adding LED light therapy for its soothing, healing, antibacterial benefits.  Sign up for a series, and watch your skin transform before your eyes! 

Single 45 min. treatment $155

Single 60 min. Treatment $195 (includes LED)

Series of six 60 min. Treatments $1000

Includes LED",,,Spa,,155+,
May's Beauty Skin Care,Acne Facial,Acne Corrective Treatment,,Acne Facial,Facial,Spa,,88,
Mizu Spa,Acne Facial,High Frequency Mini Facial (30 min),"This treatment helps to sanitize and heal, especially skin that is acne prone. ",Acne Facial,Facial,Spa,,45,
Mizu Spa,Acne Facial,Acne Facial (60 min),"With gentle extractions, this treatment uses antibacterial and anti-inflammatory enzymes to regenerate skin prone to impurities and oils. Calms breakout, leaving skin smoother and cleaner. ",Acne Facial,Facial,Spa,,125,
Precision Hair Design,Acne Facial,Acne Therapy,,,,Spa,,85,
Qua The Spa at SOMA GRAND,Acne Facial,Anti-Acne Oxygen Facial,,,,Spa,,795,
SenSpa,Acne Facial,CLEAR SKIN TEEN FACIAL,,,,Spa,,135,
SenSpa,Acne Facial,CLARIFYING FACIAL - ULTRA,,,,Spa,,185,
SenSpa,Acne Facial,CLARIFYING FACIAL - ULTRA,,,,Spa,,235,
Serenity Wellness Spa,Acne Facial,Acne Purifying Facial ,"Deep cleanse, exfoliant, extractions, high frequency, and mask that will help to calm inflammation, redness and further breakouts.",,,Spa,,119,
Pampered Hands Salon,Acrylic Add-on,Acryllic Cut down,,Add-on,Acrylic,Nails,,5,
7 Nail Spa,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,17+,
Doan's Nail,Acrylic Fill,Acrylic Fill-In,,Acrylic Fill,Acrylic,Nails,,25+,
Fingertips Nail Salon,Acrylic Fill,Acrylic Fill-In,,Acrylic Fill,Acrylic,Nails,,25,
Gentle Nails Salon,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,35+,
KT Nails,Acrylic Fill,Fill In - Regular Color,,Acrylic Fill,Acrylic,Nails,,28,
Lucky Nails,Acrylic Fill,Fill-In,,,,Nails,,45,
Merry Manicures,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,30,
Nail Today,Acrylic Fill,Fill in Acrylic,,Acrylic Fill,Acrylic,Nails,,30+,
Nailtastic Salon,Acrylic Fill,Acryllic Fill,,Acrylic Fill,Acrylic,Nails,,16,
Nali Nails & Spa,Acrylic Fill,Acryllic Fill,,Acrylic Fill,Acrylic,Nails,,30,
New Zen Spa,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,45,
Pampered Hands Salon,Acrylic Fill,Acryllic Fill in ,,Acrylic Fill,Acrylic,Nails,,25+,
Relax Nails,Acrylic Fill,Fills,,,,Nails,,50,
Relax Nails,Acrylic Fill,FIBERGLASS/ACRYLLIS FILL,,,,Nails,,35,
Richmond Nail Salon,Acrylic Fill,Acrylic fill ,,,,Nails,,30,
Rosy Heels,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,30,
Royal Thai Spa,Acrylic Fill,Acrylic fill in ,,,,Nails,,25,
Simply Unique Nails,Acrylic Fill,Fiberglass/Acryllic Fill,"This service needs to be done every 2-3 weeks after a new full set has been put on. Due to the growth of natural nails, fill-in is necessary to maintain a healthy and beautiful set of nails, and your diet can affect the length of time between fills. (A healthy diet promotes nail growth.) Approximately 40 minutes. ",Acrylic Fill,Acrylic,Nails,,35,
Sunset Nails,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,30+,
Super Nails & Spa,Acrylic Fill,Acrylic Fill In,,Acrylic Fill,Acrylic,Nails,,25,
Sutter Nails,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,40,
Sydney Nail Spa,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,30,
Sydney Nail Spa,Acrylic Fill,Pink Fill,,Acrylic Fill,Acrylic,Nails,,40,
The Bling Bar Nail Salon,Acrylic Fill,Fill-In,,,,Nails,,35,
Thi Spa & Nails,Acrylic Fill,Acrylic Fill,,Acrylic Fill,,Nails,,50+,
White Daisy Nail Spa,Acrylic Fill,Acrylic Fill,,Acrylic Fill,Acrylic,Nails,,35,
7 Nail Spa,Acrylic Full-Set,Acrylic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,22+,
Doan's Nail,Acrylic Full-Set,Acrylic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,30,
Elegant Nails Salon,Acrylic Full-Set,Acrylic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,45+,
Fingertips Nail Salon,Acrylic Full-Set,Acrylic Set,,Acrylic Full-Set,Acrylic,Nails,,40,
Gentle Nails Salon,Acrylic Full-Set,Acryllic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,45+,
KT Nails,Acrylic Full-Set,Full Set - Regular Color,,Acrylic Full-Set,Acrylic,Nails,,40,
Luxury Spa,Acrylic Full-Set,Acrylic - Dip ,,Acrylic Full-Set,Acrylic,Nails,,12,
Merry Manicures,Acrylic Full-Set,Acrylic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,45,
Nail Arts,Acrylic Full-Set,Acrylic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,35,
Nail Today,Acrylic Full-Set,Full Set Acrylic,,Acrylic Full-Set,Acrylic,Nails,,40+,
Nailtastic Salon,Acrylic Full-Set,Acryllic Full Set,,Acrylic Full-Set,Acrylic,Nails,,20,
Nali Nails & Spa,Acrylic Full-Set,Acryllic Full Set,,Acrylic Full-Set,Acrylic,Nails,,35,
New Zen Spa,Acrylic Full-Set,Acrylic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,50,
Pampered Hands Salon,Acrylic Full-Set,Acrylllic new set ,,Acrylic Full-Set,Acrylic,Nails,,40+,
Relax Nails,Acrylic Full-Set,FULL SET,,,,Nails,,60,
Relax Nails,Acrylic Full-Set,FIBERGLASS/ACRYLLIC FULL SET,,,,Nails,,45,
Richmond Nail Salon,Acrylic Full-Set,Acrylic new set,,,,Nails,,45,
Rosy Heels,Acrylic Full-Set,Acrylic new set,,Acrylic Full-Set,Acrylic,Nails,,45,
Royal Thai Spa,Acrylic Full-Set,Acrylic full  set ,,,,Nails,,35,
Simply Unique Nails,Acrylic Full-Set,Fiberglass/Acrylic Full set,"This service includes the applying of artificial nails with acrylic and fiberglass powder from OPI, shaping, buffing and massaging hands with warm cream, then nails are polished to accent your personal style. Approximately 1 hour. ",Acrylic Full-Set,Acrylic,Nails,,45,
Sunset Nails,Acrylic Full-Set,Acrylic Full Set,,Acrylic Full-Set,Acrylic,Nails,,40+,
Super Nails & Spa,Acrylic Full-Set,Acrylic Full Set,,Acrylic Full-Set,Acrylic,Nails,,35,
Sutter Nails,Acrylic Full-Set,Acrylic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,40,
Sydney Nail Spa,Acrylic Full-Set,Acrylic Full Set,,Acrylic Full-Set,Acrylic,Nails,,40,
The Bling Bar Nail Salon,Acrylic Full-Set,full set with medium art,,,,Nails,,75,
The Bling Bar Nail Salon,Acrylic Full-Set,Acrylic Nails with low art,,,,Nails,,65,
The Bling Bar Nail Salon,Acrylic Full-Set,"Acrylic Nails, high Nail Art",,,,Nails,,90,
The Bling Bar Nail Salon,Acrylic Full-Set,Full set,,,,Nails,,55,
Thi Spa & Nails,Acrylic Full-Set,Acrylic Full Set,,Acrylic Full-Set,,Nails,,60+,
White Daisy Nail Spa,Acrylic Full-Set,Acrylic Full-Set,,Acrylic Full-Set,Acrylic,Nails,,45,
7 Nail Spa,Acrylic Gel Fill,Gel Acrylic Full-Set,,Acrylic Gel Fill,Acrylic,Nails,,30,
Fingertips Nail Salon,Acrylic Gel Fill,Acrylic Gel Fill,,Acrylic Gel Fill,Acrylic,Nails,,35,
Gentle Nails Salon,Acrylic Gel Fill,Acrylic Gel Fill,,Acrylic Gel Fill,Acrylic,Nails,,45+,
KT Nails,Acrylic Gel Fill,Fill In - Gel Color,,Acrylic Gel Fill,Acrylic,Nails,,38,
Nailtastic Salon,Acrylic Gel Fill,Gel Fill,,Acrylic Gel Fill,Acrylic,Nails,,20,
Nailtastic Salon,Acrylic Gel Fill,Fill w/ Gel Polish,,Acrylic Gel Fill,Acrylic,Nails,,30,
Oliviana Nail Spa,Acrylic Gel Fill,Acryllic Refill Gel,,Acrylic Gel Fill,Acrylic,Nails,,30+,
Pampered Hands Salon,Acrylic Gel Fill,Acryllic Gel Fill in,,Acrylic Gel Fill,Acrylic,Nails,,30,
Sydney Nail Spa,Acrylic Gel Fill,Color Gel Fill,,Acrylic Gel Fill,Acrylic,Nails,,50,
White Daisy Nail Spa,Acrylic Gel Fill,Gel Acrylic Fill,,Acrylic Gell Fill,Acrylic,Nails,,45,
7 Nail Spa,Acrylic Gel Full-Set,Gel Acrylic Full-Set,,Acrylic Gel Full-Set,Acrylic,Nails,,42,
Fingertips Nail Salon,Acrylic Gel Full-Set,Acrylic Gel Nails,,Acrylic Gel Full-Set,Acrylic,Nails,,50,
Gentle Nails Salon,Acrylic Gel Full-Set,Acrylic Gel Set,,Acrylic Gel Full-Set,Acrylic,Nails,,60+,
KT Nails,Acrylic Gel Full-Set,Full Set - Gel Color,,Acrylic Gel Full-Set,Acrylic,Nails,,50,
